// INIZIALIZZAZIONE ALBERO
// **********************************************************************************************
//  I parametri d'inizializzazione di ogni nodo sono i seguenti:
//   idAppartenenza, idProprio, decisione, domanda, parteSoluzione, identificatoreSoluzione
// **********************************************************************************************
//  Identificatori soluzioni:
//      [A] Soggetto
//      [W] Caratteristica
//      [S] Stato
//      [D] Colori
//      [R] Stile
// **********************************************************************************************
//
0,1,ROOT,Vuoi disegnare una persona ?,persona,[A]
1,2,Y,Vuoi disegnare una persona di età giovane ?,giovane,[W]
1,3,N,Vuoi disegnare un animale ?,animale,[A]
2,4,Y,Vuoi disegnare una persona raffigurata in movimento ?,dinamico,[S]
2,5,N,Vuoi disegnare una persona di età media ?,mezza età,[W]
3,6,Y,Preferisci la fedeltà all'indipendenza ?,domestico,[W]
3,7,N,Vuoi disegnare un paesaggio ?,paesaggio,[A]
4,8,Y,Preferisci l'estate all'inverno ?,caldi,[D]
4,9,N,Vuoi disegnare una persona raffigurata in modo statico ?,statico,[S]
5,10,Y,Vuoi disegnare una persona raffigurata in movimento ?,dinamico,[S]
5,11,N,Vuoi disegnare una persona di età anziana ?,anziana,[W]
6,12,Y,Vuoi disegnare un animale raffigurato in movimento ?,dinamico,[S]
6,13,N,preferisci il coraggio alla dolcezza ?,selvatico,[W]
7,14,Y,preferisci la natura alla città ?,naturale,[W]
7,15,N,Vuoi disegnare un oggetto ?,oggetto,[A]
8,16,Y,ti piace lo stile di Monet ?,impressionista,[R]
8,17,N,preferisci l'acqua al fuoco ?,freddi,[D]
9,18,Y,preferisci l'estate all'inverno ?,caldi,[D]
9,19,N,preferisci l'estate all'inverno ?,caldi,[D]
10,20,Y,preferisci l'estate all'inverno ?,caldi,[D]
10,21,N,Vuoi disegnare una persona raffigurata in modo statico ?,dinamico,[S]
11,22,Y,Vuoi disegnare una persona raffigurata in movimento ?,dinamico,[S]
11,23,N,Vuoi disegnare una persona raffigurata in movimento ?,dinamico,[S]
12,24,Y,preferisci l'estate all'inverno ?,caldi,[D]
12,25,N,Vuoi disegnare un animale raffgurato in posizione statica ?,statica,[S]
13,26,Y,Vuoi disegnare un animale raffigurato in movimento ?,dinamico,[S]
13,27,N,Vuoi disegnare un animale raffigurato in movimento ?,dinamico,[S]
14,28,Y,preferisci l'estate all'inverno ?,caldi,[D]
14,29,N,preferisci la città alla natura ?,artificiale,[W]
15,30,Y,Vuoi disegnare una natura morta ?,natura morta,[A]
15,31,N,Vuoi disegnare qualcosa di astratto ?,astratto,[A]
16,33,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
17,34,Y,ti piace lo stile di Monet ?,impressionista,[R]
17,35,N,ti piace lo stile di Monet ?,impressionista,[R]
18,36,Y,ti piace lo stile di Monet ?,impressionista,[R]
18,37,N,preferisci l'acqua al fuoco ?,freddi,[D]
19,38,Y,ti piace lo stile di Monet ?,impressionista,[R]
19,39,N,preferisci l'acqua al fuoco ?,freddi,[D]
20,40,Y,ti piace lo stile di Monet ?,impressionista,[R]
20,41,N,preferisci l'acqua al fuoco ?,freddi,[D]
21,42,Y,preferisci l'estate all'inverno ?,caldi,[D]
21,43,N,preferisci l'estate all'inverno ?,caldi,[D]
22,44,Y,preferisci l'estate all'inverno ?,caldi,[D]
22,45,N,Vuoi disegnare una persona raffigurata in modo statico ?,statico,[S]
23,46,Y,preferisci l'estate all'inverno ?,caldi,[D]
23,47,N,Vuoi disegnare una persona raffigurata in modo statico ?,statico,[S]
24,48,Y,ti piace lo stile di Monet ?,impressionista,[R]
24,49,N,preferisci l'acqua al fuoco ?,freddi,[D]
25,50,Y,preferisci l'estate all'inverno ?,caldi,[D]
25,51,N,preferisci l'estate all'inverno ?,caldi,[D]
26,52,Y,preferisci l'estate all'inverno ?,caldi,[D]
26,53,N,Vuoi disegnare una persona raffigurata in modo statico ?,statico,[S]
27,54,Y,preferisci l'estate all'inverno ?,caldi,[D]
27,55,N,Vuoi disegnare un animale raffigurato in modo statico ?,statico,[S]
28,56,Y,ti piace lo stile di Monet ?,impressionista,[R]
28,57,N,preferisci l'acqua al fuoco ?,freddi,[D]
29,58,Y,preferisci l'estate all'inverno ?,caldi,[D]
29,59,N,preferisci l'estate all'inverno ?,caldi,[D]
30,60,Y,preferisci l'estate all'inverno ?,caldi,[D]
30,61,N,preferisci l'estate all'inverno ?,caldi,[D]
31,62,Y,preferisci l'estate all'inverno ?,caldi,[D]
31,63,N,preferisci l'estate all'inverno ?,caldi,[D]
33,67,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
34,69,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
35,71,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
36,73,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
37,74,Y,ti piace lo stile di Monet ?,impressionista,[R]
37,75,N,ti piace lo stile di Monet ?,impressionista,[R]
38,77,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
39,78,Y,ti piace lo stile di Monet ?,impressionista,[R]
39,79,N,ti piace lo stile di Monet ?,impressionista,[R]
40,81,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
41,82,Y,ti piace lo stile di Monet ?,impressionista,[R]
41,83,N,ti piace lo stile di Monet ?,impressionista,[R]
42,84,Y,ti piace lo stile di Monet ?,impressionista,[R]
42,85,N,preferisci l'acqua al fuoco ?,freddi,[D]
43,86,Y,ti piace lo stile di Monet ?,impressionista,[R]
43,87,N,preferisci l'acqua al fuoco ?,freddi,[D]
44,88,Y,ti piace lo stile di Monet ?,impressionista,[R]
44,89,N,preferisci l'acqua al fuoco ?,freddi,[D]
45,90,Y,preferisci l'estate all'inverno ?,caldi,[D]
45,91,N,preferisci l'estate all'inverno ?,caldi,[D]
46,92,Y,ti piace lo stile di Monet ?,impressionista,[R]
46,93,N,preferisci l'acqua al fuoco ?,freddi,[D]
47,94,Y,preferisci l'estate all'inverno ?,caldi,[D]
47,95,N,preferisci l'estate all'inverno ?,caldi,[D]
48,97,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
49,98,Y,ti piace lo stile di Monet ?,impressionista,[R]
49,99,N,ti piace lo stile di Monet ?,impressionista,[R]
50,100,Y,ti piace lo stile di Monet ?,impressionista,[R]
50,101,N,preferisci l'acqua al fuoco ?,freddi,[D]
51,102,Y,ti piace lo stile di Monet ?,impressionista,[R]
51,103,N,preferisci l'acqua al fuoco ?,freddi,[D]
52,104,Y,ti piace lo stile di Monet ?,impressionista,[R]
52,105,N,preferisci l'acqua al fuoco ?,freddi,[D]
53,106,Y,preferisci l'estate all'inverno ?,caldi,[D]
53,107,N,preferisci l'estate all'inverno ?,caldi,[D]
54,108,Y,ti piace lo stile di Monet ?,impressionista,[R]
54,109,N,preferisci l'acqua al fuoco ?,freddi,[D]
55,110,Y,preferisci l'estate all'inverno ?,caldi,[D]
55,111,N,preferisci l'estate all'inverno ?,caldi,[D]
56,113,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
57,114,Y,ti piace lo stile di Monet ?,impressionista,[R]
57,115,N,ti piace lo stile di Monet ?,impressionista,[R]
58,116,Y,ti piace lo stile di Monet ?,impressionista,[R]
